"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000015568",0.928245209158885,-30,3.40033683911295,-8.82265534841135,1.1177697042202e-18,1.92515403786365e-16
"ENSG00000066405",1.22775591292285,18.4449936892822,3.35103560928328,5.50426669241726,3.707080203668e-08,3.53011005334576e-06
"ENSG00000072310",9.45490401811223,3.73689078909907,1.00463440579113,3.71965241042719,0.000199497135695264,0.0170465180886995
"ENSG00000074416",98.0563793248232,1.55132121632548,0.421877343452704,3.67718541988828,0.000235821626561479,0.0198952198234442
"ENSG00000077800",0.440652775815615,-18.1516747654742,3.38429642877257,-5.36350025699656,8.16245355481871e-08,7.64775943254167e-06
"ENSG00000080618",0.696193864982418,-30,3.38798383166841,-8.85482383935301,8.38160786333078e-19,1.92515403786365e-16
"ENSG00000081051",0.77352906856462,29.9685721068448,3.39177065804889,8.8356717267211,9.94985600705682e-19,1.92515403786365e-16
"ENSG00000088298",8.05241909041177,4.21164249683855,1.01702032433224,4.14115863378036,3.4555586149387e-05,0.00303429302700698
"ENSG00000100890",1.87063372875874,-17.0429927063569,3.3419546075201,-5.09970801757948,3.40177830399253e-07,3.10405608793553e-05
"ENSG00000102076",2.8470726546065,-14.4664325369878,2.45225401865118,-5.89923899684126,3.65181948192601e-09,3.55498014636073e-07
"ENSG00000105329",412.138968197618,1.6370373016711,0.456127778975185,3.58898838687078,0.000331963626788534,0.0278212585827475
"ENSG00000106631",7.92756411468305,14.3259125950587,3.35216404777653,4.27363112033883,1.92315104123416e-05,0.00170584473576273
"ENSG00000109272",166.034271380009,2.31021106721497,0.644460240231469,3.5847224126429,0.000337436904609552,0.0282123084743891
"ENSG00000111536",0.789587376219649,29.9219908260632,3.40325771986288,8.79216130222099,1.46709931542241e-18,2.07579703948916e-16
"ENSG00000112679",110.260753554342,1.28103626780686,0.37002476440174,3.46202846687317,0.000536120446189575,0.0440854996551371
"ENSG00000113140",836.99073930305,2.22965331799134,0.606424447525385,3.67672069800255,0.000236251465798596,0.0198952198234442
"ENSG00000118113",52.361095289297,-2.10873083421483,0.571971722537393,-3.68677462735401,0.000227114325879174,0.0192183812610784
"ENSG00000123500",1.22077536275064,29.9787600300422,3.02868050784977,9.89829067554101,4.23450393829715e-23,3.69968609089022e-19
"ENSG00000124249",0.949236164226755,-30,3.38208165637564,-8.87027666627928,7.2964396478596e-19,1.92515403786365e-16
"ENSG00000125571",0.954091441809797,30,3.40770996024353,8.8035661338549,1.32536015831541e-18,1.92515403786365e-16
"ENSG00000125965",1.11176841403674,24.5789315887796,3.36627813102304,7.30151539240458,2.84544517762801e-13,2.9076788908697e-11
"ENSG00000135437",0.260294698287739,26.5867022651424,3.40559085618596,7.80678108083653,5.86670431876296e-15,6.88018733329288e-13
"ENSG00000141028",0.858539261737885,29.997572846292,3.4048093981593,8.81035304428764,1.24752334651171e-18,1.92515403786365e-16
"ENSG00000141965",0.960376540060549,25.2027209967158,3.39689193389686,7.41934729957795,1.17698910436499e-13,1.24270136614343e-11
"ENSG00000142698",0.952305042184153,-30,3.18349016613998,-9.42361949758285,4.35800393358199e-21,2.53839202451372e-17
"ENSG00000142961",46.9415177042804,1.97608342217386,0.531646823199024,3.71691005371457,0.000201674201370842,0.0171905121695322
"ENSG00000143546",905.941120091665,-1.68678315308965,0.411726443360793,-4.09685406485182,4.18802732810851e-05,0.00366825010182296
"ENSG00000144554",14.6698286569621,-1.99345311308355,0.569247640822453,-3.50190843163337,0.000461938349259631,0.0381650624820935
"ENSG00000154016",0.257756228947764,25.8050168731373,3.40398940664755,7.58081585763559,3.43388686178646e-14,3.78572485948622e-12
"ENSG00000154146",1462.98233969632,2.44554332008887,0.563951286702511,4.33644425990806,1.44806126200624e-05,0.00129099094348454
"ENSG00000155495",1.07729773143418,30,3.3773776604755,8.88263114637179,6.52971949518968e-19,1.92515403786365e-16
"ENSG00000156504",80.4060309409809,1.76571515031959,0.450298880658878,3.92120706082146,8.81065120208936e-05,0.00758410438942411
"ENSG00000156750",1.45922159905563,24.3103461011481,3.40267408027933,7.14448270025098,9.03354334430855e-13,9.17744979060742e-11
"ENSG00000157111",0.894864222581285,-11.8364007752434,3.34321579081509,-3.54042380625321,0.00039948496655924,0.0331619967014544
"ENSG00000157343",0.82308089499559,12.5336013622878,3.37322193288501,3.71561717896462,0.000202708295093454,0.0172366167808419
"ENSG00000161149",0.746191487038258,29.9999621845763,3.40431529024805,8.81233364915222,1.22567185137972e-18,1.92515403786365e-16
"ENSG00000161570",1287.96838127846,1.83816988588677,0.500336969733833,3.67386380995318,0.000238910105340753,0.0200707460611746
"ENSG00000161572",0.540036352280479,13.5362054337185,3.38850100825223,3.99474735310774,6.47632765868287e-05,0.00558851108680614
"ENSG00000163206",1.19261430226225,28.5501137020754,3.40745235410927,8.37872719412936,5.35031240806544e-17,6.89973129288085e-15
"ENSG00000163220",2113.89330123453,-1.5149355482528,0.363358324250491,-4.16926060900819,3.05589404233295e-05,0.00269011045318519
"ENSG00000165202",0.969402894650252,29.9686767785519,3.40499474508228,8.80138708637793,1.35135364673663e-18,1.92763703045517e-16
"ENSG00000165309",24.3905829158516,3.62526131648691,1.01610277320895,3.56780968625643,0.00035997780343458,0.0300250698673787
"ENSG00000166930",2.43984577474004,12.5911752748117,3.10989834920808,4.04874174682204,5.14937272216225e-05,0.00448778747865652
"ENSG00000167769",1.54705813712924,29.9881271242662,3.38246084042833,8.86577215199001,7.59756982816341e-19,1.92515403786365e-16
"ENSG00000168124",0.534997654590183,29.9753382340034,3.39978809035961,8.81682547185839,1.17750567926232e-18,1.92515403786365e-16
"ENSG00000168930",0.831472448727916,29.9815687568037,3.39463051979559,8.83205656166937,1.02768451662813e-18,1.92515403786365e-16
"ENSG00000169548",0.715568581357348,29.9999996981297,3.40814148736787,8.80245136809121,1.33859571706783e-18,1.92515403786365e-16
"ENSG00000171017",1.19261430226225,28.5501137020754,3.40745235410927,8.37872719412936,5.35031240806544e-17,6.89973129288085e-15
"ENSG00000171483",1.06649818302674,-18.8413521266116,3.39381157851362,-5.55167889870406,2.8293895641879e-08,2.70168050517046e-06
"ENSG00000175513",1.27919276486078,29.9538725930032,3.39084276097158,8.83375452786272,1.01219643857371e-18,1.92515403786365e-16
"ENSG00000175877",0.889450042979165,29.9680832381251,3.38021676726815,8.86572823622341,7.60056523569565e-19,1.92515403786365e-16
"ENSG00000176281",0.715568581357348,29.9999996981297,3.40814148736787,8.80245136809121,1.33859571706783e-18,1.92515403786365e-16
"ENSG00000176567",8.82534583674062,30,3.40660410605913,8.80642395359084,1.29201686982733e-18,1.92515403786365e-16
"ENSG00000176716",0.954091441809797,30,3.40770996024353,8.8035661338549,1.32536015831541e-18,1.92515403786365e-16
"ENSG00000176753",0.715568581357348,29.9999996981297,3.40814148736787,8.80245136809121,1.33859571706783e-18,1.92515403786365e-16
"ENSG00000176879",0.831489555771893,30,3.38434534442408,8.8643436017624,7.69560894346209e-19,1.92515403786365e-16
"ENSG00000176979",1.01205192901707,29.9574448852874,3.39069746025125,8.83518663533832,9.99312792055962e-19,1.92515403786365e-16
"ENSG00000177143",0.954091441809797,30,3.40770996024353,8.8035661338549,1.32536015831541e-18,1.92515403786365e-16
"ENSG00000177688",0.168425981245008,25.4785678114469,3.40637399964488,7.47967422664191,7.45070745429102e-14,7.96291511047592e-12
"ENSG00000179133",0.889441489457177,29.972429322148,3.38465063394613,8.8553982563345,8.33855490504786e-19,1.92515403786365e-16
"ENSG00000179342",0.715568581357348,29.9999996981297,3.40814148736787,8.80245136809121,1.33859571706783e-18,1.92515403786365e-16
"ENSG00000180090",0.77352906856462,29.9685721068448,3.39177065804889,8.8356717267211,9.94985600705682e-19,1.92515403786365e-16
"ENSG00000180221",0.183737434085463,24.9435814339293,3.4062019221876,7.3229896535052,2.42506505027536e-13,2.49268156991245e-11
"ENSG00000180284",1.20725617329477,29.9800269557876,3.39165044534875,8.83936226296602,9.6266507398772e-19,1.92515403786365e-16
"ENSG00000182217",0.875936556856348,-30,3.4045273322222,-8.81179590366762,1.23156699281017e-18,1.92515403786365e-16
"ENSG00000182566",10.722520972514,-4.30437996406859,1.10914315504637,-3.8808155146471,0.000104106790724875,0.00893937130774678
"ENSG00000182916",5.20991023310848,-30,3.32197844264747,-9.03076299799565,1.70478944778832e-19,1.92515403786365e-16
"ENSG00000184500",82.8492422993311,3.4089974048667,0.841437411921563,4.05139747361802,5.09126345944074e-05,0.00444823688451337
"ENSG00000185052",24.1160688792089,3.18346998795927,0.860761152687541,3.69843594592945,0.000216932077223564,0.0184013161039056
"ENSG00000185254",0.975334503077895,25.4221787341337,3.40799863485684,7.45956247579356,8.68102595014782e-14,9.22141321902025e-12
"ENSG00000187135",1.66966002316714,30,3.40713345962127,8.80505573249095,1.30787576620851e-18,1.92515403786365e-16
"ENSG00000188191",26.5066917110939,3.20003853015065,0.926935854365222,3.45227613656403,0.00055587852714893,0.0456029172929596
"ENSG00000188279",0.715568581357348,29.9999996981297,3.40814148736787,8.80245136809121,1.33859571706783e-18,1.92515403786365e-16
"ENSG00000189280",0.30369058746913,26.4744879466583,3.40340704488358,7.7788191648889,7.32046139755369e-15,8.55637073316744e-13
"ENSG00000189401",0.549567412511607,-30,3.402278943905,-8.81761915898854,1.16919142254769e-18,1.92515403786365e-16
"ENSG00000196248",1.66966002316714,30,3.40713345962127,8.80505573249095,1.30787576620851e-18,1.92515403786365e-16
"ENSG00000196734",0.715568581357348,29.9999996981297,3.40814148736787,8.80245136809121,1.33859571706783e-18,1.92515403786365e-16
"ENSG00000197604",0.253042299244337,-30,3.40634871261089,-8.80708422156982,1.28443186359282e-18,1.92515403786365e-16
"ENSG00000198526",0.314765394335604,-15.8307949459143,3.38482160360154,-4.67699536338042,2.91108837089023e-06,0.00026220803192235
