category,Gene name,ID,term,count,genes,logFC,adj_pval
CC,HEXB,GO:0070062,extracellular exosome,11,P07686,Up,8.08E-10
CC,HEXB,GO:1903561,extracellular vesicle,11,P07686,Up,8.95E-10
CC,HEXB,GO:0043230,extracellular organelle,11,P07686,Up,9.04E-10
CC,HEXB,GO:0065010,extracellular membrane-bounded organelle,11,P07686,Up,9.04E-10
CC,HEXB,GO:0005615,extracellular space,11,P07686,Up,1.38E-07
CC,HEXB,GO:0031982,vesicle,12,P07686,Up,2.55E-08
CC,HEXB,GO:0005576,extracellular region,13,P07686,Up,1.81E-09
CC,HEXB,GO:0031410,cytoplasmic vesicle,7,P07686,Up,3.07E-04
CC,HEXB,GO:0097708,intracellular vesicle,7,P07686,Up,3.09E-04
CC,TPI1,GO:0070062,extracellular exosome,11,P60174,Up,8.08E-10
CC,TPI1,GO:1903561,extracellular vesicle,11,P60174,Up,8.95E-10
CC,TPI1,GO:0043230,extracellular organelle,11,P60174,Up,9.04E-10
CC,TPI1,GO:0065010,extracellular membrane-bounded organelle,11,P60174,Up,9.04E-10
CC,TPI1,GO:0005615,extracellular space,11,P60174,Up,1.38E-07
CC,TPI1,GO:0031982,vesicle,12,P60174,Up,2.55E-08
CC,TPI1,GO:0005576,extracellular region,13,P60174,Up,1.81E-09
CC,HMHA1,GO:0035578,azurophil granule lumen,5,Q92619,Up,2.34E-09
CC,HMHA1,GO:0042582,azurophil granule,5,Q92619,Up,3.14E-08
CC,HMHA1,GO:0005766,primary lysosome,5,Q92619,Up,3.14E-08
CC,HMHA1,GO:0005775,vacuolar lumen,5,Q92619,Up,5.53E-08
CC,HMHA1,GO:0034774,secretory granule lumen,6,Q92619,Up,2.38E-08
CC,HMHA1,GO:0060205,cytoplasmic vesicle lumen,6,Q92619,Up,2.52E-08
CC,HMHA1,GO:0031983,vesicle lumen,6,Q92619,Up,2.61E-08
CC,HMHA1,GO:0030141,secretory granule,7,Q92619,Up,3.36E-07
CC,HMHA1,GO:0000323,lytic vacuole,5,Q92619,Up,5.59E-05
CC,HMHA1,GO:0005764,lysosome,5,Q92619,Up,5.59E-05
CC,HMHA1,GO:0099503,secretory vesicle,7,Q92619,Up,1.10E-06
CC,HMHA1,GO:0005773,vacuole,5,Q92619,Up,1.02E-04
CC,HMHA1,GO:0031982,vesicle,12,Q92619,Up,2.55E-08
CC,HMHA1,GO:0005576,extracellular region,13,Q92619,Up,1.81E-09
CC,HMHA1,GO:0031410,cytoplasmic vesicle,7,Q92619,Up,3.07E-04
CC,HMHA1,GO:0097708,intracellular vesicle,7,Q92619,Up,3.09E-04
CC,IDH1,GO:0034774,secretory granule lumen,6,O75874,Down,2.38E-08
CC,IDH1,GO:0060205,cytoplasmic vesicle lumen,6,O75874,Down,2.52E-08
CC,IDH1,GO:0031983,vesicle lumen,6,O75874,Down,2.61E-08
CC,IDH1,GO:0030141,secretory granule,7,O75874,Down,3.36E-07
CC,IDH1,GO:0099503,secretory vesicle,7,O75874,Down,1.10E-06
CC,IDH1,GO:0070062,extracellular exosome,11,O75874,Down,8.08E-10
