Gene Symbol,DESeq2 (BH adjusted p-value ),edgeR (BH adjusted p-value ),ALDEx2 (effect size),Direction of expression,Uniprot ID
FAM83A,7.30E-05,4.90E-03,,Up,Q86UY5
FCER1G,2.35E-05,,-1.627,Down,P30273
FCGR1B,1.70E-04,4.30E-03,,Down,Q92637
FGF13,2.40E-05,6.50E-03,-1.597,Down,Q92913
FKBP2,2.70E-03,,1.436,Up,P26885
FLJ00418,5.70E-09,9.50E-03,,Up,Q86YU6
FLNB,3.80E-07,6.60E-03,,Up,O75369
FLT1,3.60E-28,3.10E-06,2.756,Up,P17948
FOLR2,1.09E-04,,-1.597,Down,P14207
FPR1,7.58E-05,,-1.768,Down,P21462
FSTL3,6.40E-21,6.00E-05,2.037,Up,O95633
GALE,1.50E-03,,1.444,Up,Q14376
GAPDH,2.00E-06,5.30E-03,,Up,P04406
GBA,1.30E-09,1.10E-04,1.733,Up,P04062
GFOD2,3.40E-05,,1.745,Up,Q3B7J2
GLB1,1.00E-04,3.60E-03,,Down,P16278
GLRX,1.50E-04,,1.441,Up,P35754
GOLGA6L6,5.10E-04,1.40E-03,,Up,A8MZA4
GPIHBP1,2.40E-10,,1.522,Up,Q8IV16
GPR45,1.20E-05,9.50E-03,,Up,Q9Y5Y3
GSE1,1.50E-05,6.90E-03,1.559,Up,Q14687
GUCA2A,1.60E-06,,1.499,Up,Q02747
HADH,7.92E-03,,-1.196,Down,P40939
HAVCR2,1.49E-03,,-1.461,Down,Q8TDQ0
HCAR3,2.60E-06,6.60E-03,,Up,P49019
HCK,9.40E-05,6.50E-03,,Down,P08631
HMHA1,3.00E-13,9.90E-04,1.933,Up,Q92619
HNMT,5.02E-04,,-1.698,Down,P50135
HS6ST2,5.50E-06,2.80E-03,-1.785,Down,Q96MM7
HTRA1,4.50E-21,8.50E-06,2.25,Up,Q92743
HTRA4,3.60E-28,3.10E-06,2.042,Up,P83105
IL8,1.20E-05,2.10E-04,,Up,P10145
ILDR2,1.60E-03,,1.302,Up,Q71H61
INHA,1.30E-23,1.60E-05,2.27,Up,P05111
INHBA,4.50E-21,1.60E-03,1.863,Up,P08476
INPP5B,1.40E-04,3.90E-03,,Up,P32019
IQSEC1,9.70E-04,,1.569,Up,Q6DN90
IRF2BPL,7.70E-03,,1.553,Up,Q9H1B7
